molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,ligand_efficiency
CHEMBL3670880,Cc1ncccc1C(=O)N[C@@H](Cc1ccccc1Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,0.58,nM,9.24,"{'bei': '13.41', 'le': '0.29', 'lle': '5.17', 'sei': '5.97'}"
CHEMBL3670881,Cc1ccc(C(=O)N[C@@H](Cc2ccccc2Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cn1,0.567,nM,9.25,"{'bei': '13.43', 'le': '0.29', 'lle': '5.18', 'sei': '5.98'}"
CHEMBL3670878,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](Cc1ccccc1Br)NC(=O)c1ccc2c(c1)OCO2)S(=O)(=O)c1ccc(N)cc1,0.336,nM,9.47,"{'bei': '13.20', 'le': '0.28', 'lle': '5.37', 'sei': '5.91'}"
CHEMBL3670879,CC(C)CN([C@H](CO)CCCCNC(=O)C(Cc1ccccc1Br)NC(=O)c1ccncc1)S(=O)(=O)c1ccc(N)cc1,0.618,nM,9.21,"{'bei': '13.65', 'le': '0.29', 'lle': '5.45', 'sei': '5.95'}"
CHEMBL3670882,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)C1=NCC(C)N=C1)S(=O)(=O)c1ccc(N)cc1,0.836,nM,9.08,"{'bei': '13.12', 'le': '0.28', 'lle': '6.11', 'sei': '5.45'}"
CHEMBL3670875,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)c1cnccn1)S(=O)(=O)c1ccc(N)cc1,0.471,nM,9.33,"{'bei': '13.80', 'le': '0.30', 'lle': '6.17', 'sei': '5.56'}"
CHEMBL3670876,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](Cc1ccccc1Br)NC(=O)c1ccccn1)S(=O)(=O)c1ccc(N)cc1,0.615,nM,9.21,"{'bei': '13.65', 'le': '0.29', 'lle': '5.45', 'sei': '5.95'}"
CHEMBL3670877,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](Cc1ccccc1Br)NC(=O)c1cccnc1)S(=O)(=O)c1ccc(N)cc1,0.372,nM,9.43,"{'bei': '13.98', 'le': '0.30', 'lle': '5.67', 'sei': '6.09'}"
CHEMBL3670870,COC(=O)N[C@H](C(=O)NCCCC[C@H](C(N)=O)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,0.652,nM,9.19,"{'bei': '14.40', 'le': '0.28', 'lle': '5.58', 'sei': '5.28'}"
CHEMBL3670872,CC(=O)N[C@H](C(=O)NCCCCC(C(N)=O)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,1.073,nM,8.97,"{'bei': '14.42', 'le': '0.28', 'lle': '5.58', 'sei': '5.45'}"
CHEMBL3670873,CC(C)CN(C(CCCCNC(=O)[C@H](CC1=C2C=CC=CC2CC=C1)NC(=O)N1CCOCC1)C(N)=O)S(=O)(=O)c1ccc(N)cc1,0.58,nM,9.24,"{'bei': '13.81', 'le': '0.27', 'lle': '6.38', 'sei': '5.21'}"
