,molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,ligand_efficiency,chirality,parent_chembl_id,cx_logd,alogp,hba,hbd,mw_freebase,full_mwt,num_ro5_violations,psa,heavy_atoms,np_likeness_score,clean_smiles,MW,LogP,NumHDonors,NumHAcceptors
22,CHEMBL3670895,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Cl)NC(=O)c1ccncc1)S(=O)(=O)c1ccc(N)cc1,3.81,nM,8.42,"{'bei': '13.36', 'le': '0.27', 'lle': '4.77', 'sei': '5.44'}",-1,CHEMBL3670895,3.22,3.65,7,4,630.21,630.21,1,154.72,43,-1.02,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Cl)NC(=O)c1ccncc1)S(=O)(=O)c1ccc(N)cc1,630.2109999999999,3.652600000000001,4.0,7.0
23,CHEMBL3670896,Cc1ncccc1C(=O)N[C@@H](Cc1ccccc1Cl)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,2.15,nM,8.67,"{'bei': '13.45', 'le': '0.27', 'lle': '4.71', 'sei': '5.60'}",-1,CHEMBL3670896,3.35,3.96,7,4,644.24,644.24,1,154.72,44,-1.05,Cc1ncccc1C(=O)N[C@@H](Cc1ccccc1Cl)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,644.2380000000003,3.961020000000002,4.0,7.0
24,CHEMBL3670891,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](CC1=C(Br)CCC=C1)NC(=O)N1CCOCC1)S(=O)(=O)c1ccc2c(c1)OCCO2,3.659,nM,8.44,"{'bei': '11.59', 'le': '0.25', 'lle': '4.89', 'sei': '5.75'}",-1,CHEMBL3670891,2.16,3.55,8,3,727.72,727.72,1,146.74,46,-0.8,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](CC1=C(Br)CCC=C1)NC(=O)N1CCOCC1)S(=O)(=O)c1ccc2c(c1)OCCO2,727.7189999999999,3.551400000000002,3.0,8.0
25,CHEMBL3670892,COC(=O)N[C@H](C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc2c(c1)CCO2)C(C1=CC=CCC1)c1ccccc1,0.899,nM,9.05,"{'bei': '13.84', 'le': '0.27', 'lle': '4.35', 'sei': '6.74'}",-1,CHEMBL3670892,4.5,4.7,7,3,653.84,653.84,1,134.27,46,-0.48,COC(=O)N[C@H](C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc2c(c1)CCO2)C(C1=CC=CCC1)c1ccccc1,653.8420000000002,4.700400000000004,3.0,7.0
26,CHEMBL3670893,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)N1CCOCC1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc2c(c1)CCO2,0.963,nM,9.02,"{'bei': '12.75', 'le': '0.25', 'lle': '4.86', 'sei': '6.56'}",-1,CHEMBL3670893,4.08,4.16,7,3,706.91,706.91,1,137.51,50,-0.99,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)N1CCOCC1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc2c(c1)CCO2,706.9060000000002,4.158100000000005,3.0,7.0
27,CHEMBL3670894,COC(=O)N[C@H](C(=O)NCCCC[C@H](CO)N(CC(C)C)S(=O)(=O)c1ccc2c(c1)N(C)CCO2)C(c1ccccc1)c1ccccc1,3.011,nM,8.52,"{'bei': '12.52', 'le': '0.24', 'lle': '4.15', 'sei': '6.20'}",-1,CHEMBL3670894,4.7,4.37,8,3,680.87,680.87,1,137.51,48,-0.87,COC(=O)N[C@H](C(=O)NCCCC[C@H](CO)N(CC(C)C)S(=O)(=O)c1ccc2c(c1)N(C)CCO2)C(c1ccccc1)c1ccccc1,680.8680000000003,4.366000000000004,3.0,8.0
28,CHEMBL3670883,Cc1cccnc1C(=O)N[C@@H](Cc1ccccc1Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,0.503,nM,9.3,"{'bei': '13.50', 'le': '0.29', 'lle': '5.23', 'sei': '6.01'}",-1,CHEMBL3670883,4.28,4.07,7,4,688.69,688.69,1,154.72,44,-0.91,Cc1cccnc1C(=O)N[C@@H](Cc1ccccc1Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,688.6890000000002,4.070120000000003,4.0,7.0
29,CHEMBL3670884,Cc1ccc(C(=O)N[C@@H](Cc2ccccc2Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cc1O,0.683,nM,9.17,"{'bei': '13.02', 'le': '0.28', 'lle': '4.79', 'sei': '5.66'}",-1,CHEMBL3670884,4.8,4.38,7,5,703.7,703.7,1,162.06,45,-0.7,Cc1ccc(C(=O)N[C@@H](Cc2ccccc2Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cc1O,703.7000000000003,4.380720000000004,5.0,7.0
30,CHEMBL3670885,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)OCc1ccncc1)S(=O)(=O)c1ccc(N)cc1,0.92,nM,9.04,"{'bei': '12.82', 'le': '0.27', 'lle': '4.78', 'sei': '5.51'}",-1,CHEMBL3670885,3.87,4.26,8,4,704.69,704.69,1,163.95,45,-0.81,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)OCc1ccncc1)S(=O)(=O)c1ccc(N)cc1,704.688,4.2581000000000016,4.0,8.0
31,CHEMBL3670863,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccc2ccccc2c1)NS(=O)(=O)c1ccc2c(c1)OCCC2C)S(=O)(=O)c1ccc(N)cc1,4.95,nM,8.3,"{'bei': '11.06', 'le': '0.22', 'lle': '3.12', 'sei': '4.94'}",-1,CHEMBL3670863,5.19,5.19,8,4,750.98,750.98,2,168.13,52,-0.52,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccc2ccccc2c1)NS(=O)(=O)c1ccc2c(c1)OCCC2C)S(=O)(=O)c1ccc(N)cc1,750.9839999999999,5.191900000000004,4.0,8.0
